First_Name,Last_Name,Gender,Discipline,Event(s)/ Position ,Previous Olympic Experience,Gold Medals,Silver Medals,Bronze Medals,Height,Weight,Start of Games,Birth Date,Age (As of 2/8/18),Birthplace,Birth State,Hometown,Home_State,Most_Recent_School,Military (Rank - Branch),Twitter Handle,Kids,Foreign Languages
Stacey,Cook,F,Alpine Skiing,TBD,"2006, 2010, 2014",,,,"5'4""",160,2/8/2018,7/3/1984,33,Truckee,Calif.,Mammoth Lakes,Calif.,DeVry University,,@staceycookusa,,
Breezy,Johnson,F,Alpine Skiing,TBD,,,,,"5'8""",,2/8/2018,1/19/1996,22,Jackson,Wyo.,Jackson ,Wyo.,Western Washington University,,@_BreezyJohnson,,
Megan,McJames,F,Alpine Skiing,TBD,"2010, 2014",,,,"5'6""",135,2/8/2018,9/24/1987,30,Park City,Utah,Park City,Utah,Westminster College,,,,
Alice,McKennis,F,Alpine Skiing,TBD,2010,,,,"5'6""",158,2/8/2018,8/18/1989,28,Glenwood Springs,Colo.,New Castle,Colo.,DeVry University,,@AliceMcKennis,,
Laurenne,Ross,F,Alpine Skiing,TBD,2014,,,,"5'7""",150,2/8/2018,8/17/1988,29,Edmonton,Alberta,Bend,Ore.,University of Oregon,,@lalalalaurenne,,
Mikaela,Shiffrin,F,Alpine Skiing,"Giant Slalom, Slalom",2014,1,,,"5'7""",146,2/8/2018,3/13/1995,22,Vail,Colo.,Eagle-Vail,Colo.,Burke Mountain Academy,,@MikaelaShiffrin,,
Resi,Stiegler,F,Alpine Skiing,TBD,"2006, 2014",,,,"5'7""",135,2/8/2018,11/14/1985,32,Jackson ,Wyo.,Jackson ,Wyo.,Winter Sports School,,@resistiegler,,
Lindsey,Vonn,F,Alpine Skiing,Super-G,"2002, 2006, 2010",1,,1,"5'10""",140,2/8/2018,10/18/1984,33,Apple Valley,Minn.,Vail,Colo.,Dartmouth Colllege,,@lindseyvonn,,
Jacqueline,Wiles,F,Alpine Skiing,TBD,2014,,,,"5'7""",160,2/8/2018,7/13/1992,25,Portland,Ore.,Portland,Ore.,Westminster College,,@jankylilj,,
Bryce,Bennett,M,Alpine Skiing,Alpine Combined,,,,,"6'7""",220,2/8/2018,7/14/1992,25,Truckee,Calif.,Tahoe City,Calif.,Westminster College,,,,
Tommy,Biesemeyer,M,Alpine Skiing,Super-G,,,,,"6'0""",190,2/8/2018,1/30/1989,29,Plattsburgh,N.Y.,Keene,N.Y.,University of Vermont,,@tommybiesemeyer,,German
David,Chodounsky,M,Alpine Skiing,Slalom,2014,,,,"5'11""",185,2/8/2018,6/25/1984,33,St. Paul,Minn.,Crested Butte,Colo.,Dartmouth College,,,,Czech
Ryan,Cochran-Siegle,M,Alpine Skiing,Alpine Combined,,,,,"6'1""",200,2/8/2018,3/27/1992,25,Burlington,Va.,Starksboro,Vt.,Westminster College,,,,
Mark,Engel,M,Alpine Skiing,TBD,,,,,"5'9""",175,2/8/2018,10/1/1991,26,Folsom,Calif.,Truckee,Calif.,Unversity of Utah,,,,
Tommy,Ford,M,Alpine Skiing,TBD,2010,,,,"5'11""",165,2/8/2018,3/20/1989,28,Hanover,N.H.,Bend,Ore.,Dartmouth College,,@ibetommyford,,
Jared,Goldberg,M,Alpine Skiing,TBD,2014,,,,"6'0""",200,2/8/2018,6/17/1991,26,Boston,Mass.,Salt Lake City,Utah,Westminster College,,@Jared_Goldberg,,
Tim,Jitloff,M,Alpine Skiing,TBD,2014,,,,"5'11""",195,2/8/2018,1/11/1985,33,San Jose,Calif.,Reno,Nev.,"University of Nevada, Reno",,@T_Jit,,German
Nolan,Kasper,M,Alpine Skiing,Slalom,"2010, 2014",,,,"5'8""",180,2/8/2018,3/27/1989,28,Morristown,N.J.,Warren,Vt.,Dartmouth College,,,,
Ted,Ligety,M,Alpine Skiing,TBD,"2006, 2010, 2014",2,,,"5'11""",190,2/8/2018,8/31/1984,33,Salt Lake City,Utah,Park City,Utah,The Winter Sports School,,@tedligety,Yes,German
Wiley,Maple,M,Alpine Skiing,TBD,,,,,"6'2""",220,2/8/2018,5/25/1990,27,Minneapolis,Minn.,Aspen,Colo.,Westminster College,,,,
Steven,Nyman,M,Alpine Skiing,TBD,"2006, 2010, 2014",,,,"6'4""",220,2/8/2018,2/12/1982,36,Provo,Utah,Sundance,Utah,University of Utah,,@Steven_Nyman,Yes,
Andrew,Weibrecht,M,Alpine Skiing,Super-G,"2010, 2014",,1,1,"5'7""",190,2/8/2018,2/10/1986,32,Saranac Lake,N.Y.,Lake Placid,N.Y.,Dartmouth College,,@a_weibrecht,Yes,
Emily,Dreissigacker,F,Biathlon,TBD,,,,,"5'9""",150,2/8/2018,11/29/1988,29,Morrisville,Vt.,Morrisville,Vt.,Dartmouth College,,@dreissie,,
Susan,Dunklee,F,Biathlon,TBD,2014,,,,"5'7""",143,2/8/2018,2/13/1986,32,Newport,Vt.,Barton,Vt.,Dartmouth College,,@SusanDunklee,,German
Clare,Egan,F,Biathlon,TBD,,,,,"5'8""",125,2/8/2018,11/19/1987,30,Portland,Maine,Cape Elizabeth,Maine,University of New Hampshire,,@BiathleteEgan,,"French, German, Italian, Korean, Spanish"
Maddie,Phaneuf,F,Biathlon,TBD,,,,,"5'4""",140,2/8/2018,4/29/1995,22,Fairfax,Va.,Old Forge,N.Y.,Town of Webb School,,,,
Joanne,Reid,F,Biathlon,TBD,,,,,"5'5""",115,2/8/2018,6/28/1992,25,Madison,Wis.,Boulder,Colo.,University of Colorado Boulder,,@Jfiresteel,,
Lowell,Bailey,M,Biathlon,TBD,"2006, 2010, 2014",,,,"6'1""",170,2/8/2018,7/15/1981,36,Siler City,N.C.,Lake Placid,N.Y.,University of Vermont,,@lowellcbailey,Yes,
Tim,Burke,M,Biathlon,TBD,"2006, 2010, 2014",,,,"5'11""",160,2/8/2018,2/3/1982,36,Plattsburgh,N.Y.,Lake Placid,N.Y.,Saranac Lake,,@tb_burke,,
Russell,Currier,M,Biathlon,TBD,2014,,,,"5'6""",148,2/8/2018,6/26/1987,30,Stockholm,Maine,Stockholm,Maine,DeVry University,,@RussellCurrier,,German
