COUNTRY,YEAR,USDperCapita
ARG,2004,12562.78124
ARG,2005,13995.31846
ARG,2006,15450.12791
ARG,2007,17139.47639
ARG,2008,18026.72975
ARG,2009,16940.24217
ARG,2010,18719.37947
ARG,2011,20076.69125
ARG,2012,20060.22177
ARG,2013,20693.53917
ARG,2014,20359.44979
ARG,2015,20901.22355
ARG,2016,20452.58014
AUS,1960,2408.509071
AUS,1961,2379.169582
AUS,1962,2572.910414
AUS,1963,2747.828019
AUS,1964,2897.709644
AUS,1965,2996.975488
AUS,1966,3270.051273
AUS,1967,3441.34523
AUS,1968,3826.664208
AUS,1969,4200.716812
AUS,1970,4650.077117
AUS,1971,4862.084581
AUS,1972,5208.919749
AUS,1973,5792.452765
AUS,1974,6241.474421
AUS,1975,6934.065613
AUS,1976,7390.445655
AUS,1977,7720.400272
AUS,1978,8544.449053
AUS,1979,9442.488298
AUS,1980,10461.35003
AUS,1981,11819.86526
AUS,1982,11879.17816
AUS,1983,12674.52208
AUS,1984,13472.88736
AUS,1985,14395.71349
AUS,1986,14816.75295
AUS,1987,15933.60216
AUS,1988,16935.98351
AUS,1989,17678.36398
AUS,1990,17568.32446
AUS,1991,17926.09009
AUS,1992,18937.50055
AUS,1993,19929.78137
AUS,1994,21134.14664
AUS,1995,22098.57288
AUS,1996,22974.73917
AUS,1997,24160.25514
AUS,1998,25342.18977
AUS,1999,26777.75563
AUS,2000,27888.22951
AUS,2001,29133.08851
AUS,2002,30376.85316
AUS,2003,31827.64206
AUS,2004,33454.90467
AUS,2005,35068.84566
AUS,2006,37138.28415
AUS,2007,38775.78024
AUS,2008,39219.47467
AUS,2009,40897.04122
AUS,2010,42165.82842
AUS,2011,43583.03701
AUS,2012,43082.38768
AUS,2013,47002.99005
AUS,2014,46920.61776
AUS,2015,46763.8809
AUS,2016,48242.52107
AUT,1970,3834.186274
AUT,1971,4215.680804
AUT,1972,4644.59478
AUT,1973,5108.264528
AUT,1974,5776.797781
AUT,1975,6305.539334
AUT,1976,6968.044666
AUT,1977,7773.217807
AUT,1978,8308.19608
AUT,1979,9492.066592
AUT,1980,10527.27686
AUT,1981,11464.2473
AUT,1982,12411.43452
AUT,1983,13306.5421
AUT,1984,13786.62268
AUT,1985,14576.40324
AUT,1986,15203.06239
AUT,1987,15792.53531
AUT,1988,16860.25598
AUT,1989,18114.84612
AUT,1990,19452.47202
AUT,1991,20585.16008
AUT,1992,21259.91971
AUT,1993,21700.72547
AUT,1994,22607.73559
AUT,1995,23658.75995
AUT,1996,24523.89462
AUT,1997,25412.35969
AUT,1998,26652.82895
AUT,1999,27606.48424
AUT,2000,29375.3968
AUT,2001,29739.95111
AUT,2002,31178.05144
AUT,2003,32119.01676
AUT,2004,33765.56574
AUT,2005,35024.55748
AUT,2006,37631.12782
AUT,2007,39387.13901
AUT,2008,41316.02264
AUT,2009,40928.1816
AUT,2010,42058.75458
AUT,2011,44469.20964
AUT,2012,46477.65508
AUT,2013,47936.67796
AUT,2014,48801.30707
AUT,2015,49959.25877
AUT,2016,50503.32841
BEL,1970,3901.650108
BEL,1971,4238.238262
BEL,1972,4636.853981
BEL,1973,5173.07431
BEL,1974,5856.498557
BEL,1975,6296.575847
BEL,1976,7006.213075
BEL,1977,7479.010357
BEL,1978,8224.903378
BEL,1979,9105.90509
BEL,1980,10335.0311
BEL,1981,11269.51892
BEL,1982,12042.30561
BEL,1983,12559.36438
BEL,1984,13324.40134
BEL,1985,13975.02799
BEL,1986,14513.91764
BEL,1987,15210.5677
BEL,1988,16430.05537
BEL,1989,17597.04293
BEL,1990,18767.63128
BEL,1991,19672.79328
BEL,1992,20345.86332
BEL,1993,20549.81761
BEL,1994,21600.14632
BEL,1995,22529.74019
BEL,1996,22885.31691
BEL,1997,23917.06932
BEL,1998,24543.94606
BEL,1999,25643.32017
BEL,2000,27984.68617
BEL,2001,28981.38146
BEL,2002,30482.15989
BEL,2003,31054.69484
BEL,2004,32249.93809
BEL,2005,33331.11566
BEL,2006,35390.70379
BEL,2007,36865.20967
BEL,2008,38133.4023
BEL,2009,38003.72669
BEL,2010,40089.47721
BEL,2011,41450.36053
BEL,2012,42585.15311
BEL,2013,43745.95156
BEL,2014,44742.99229
BEL,2015,45577.24411
BEL,2016,46607.39577
BRA,2000,9108.328031
BRA,2001,9314.514532
BRA,2002,9615.560042
BRA,2003,9790.531882
BRA,2004,10505.84539
BRA,2005,11055.7653
BRA,2006,11708.76545
BRA,2007,12606.81751
BRA,2008,13362.97108
BRA,2009,13307.7452
BRA,2010,14339.59216
BRA,2011,15070.92344
BRA,2012,15498.51212
BRA,2013,16077.58305
BRA,2014,16307.10051
BRA,2015,15730.82087
BRA,2016,15243.19616
CAN,1970,4555.027261
CAN,1971,4919.449356
CAN,1972,5349.466577
CAN,1973,5960.092233
CAN,1974,6641.866721
CAN,1975,7282.233251
CAN,1976,7975.719977
CAN,1977,8661.422757
CAN,1978,9540.598788
CAN,1979,10615.65856
CAN,1980,11671.82195
CAN,1981,13046.66958
CAN,1982,13253.76522
CAN,1983,13996.04456
CAN,1984,15207.15755
CAN,1985,16287.17168
CAN,1986,16807.08588
CAN,1987,17706.99318
CAN,1988,18892.11488
CAN,1989,19725.65167
CAN,1990,20180.35014
CAN,1991,20156.742
CAN,1992,20553.52879
CAN,1993,21365.19678
CAN,1994,22551.98711
CAN,1995,23395.47392
CAN,1996,23954.64976
CAN,1997,25156.15005
CAN,1998,26197.93292
CAN,1999,27745.75131
CAN,2000,29265.22148
CAN,2001,30133.35228
CAN,2002,30854.82303
CAN,2003,32224.01572
CAN,2004,33815.11907
CAN,2005,36212.64356
CAN,2006,38009.87218
CAN,2007,39441.96499
CAN,2008,40277.61824
CAN,2009,38791.07104
CAN,2010,40027.20436
CAN,2011,41565.25893
CAN,2012,42145.10409
CAN,2013,44097.56557
CAN,2014,45508.06953
CAN,2015,44627.32347
CAN,2016,44792.54562
CHN,1980,310.887532
CHN,1981,349.807004
CHN,1982,396.543201
CHN,1983,450.663023
CHN,1984,530.792693
CHN,1985,613.123976
CHN,1986,670.716058
CHN,1987,755.165537
CHN,1988,856.156818
CHN,1989,912.768798
CHN,1990,979.538645
CHN,1991,1091.984437
CHN,1992,1260.977649
CHN,1993,1453.3119
CHN,1994,1659.299877
CHN,1995,1859.657394
CHN,1996,2060.045593
CHN,1997,2265.815295
CHN,1998,2447.447551
CHN,1999,2653.628503
CHN,2000,2922.241876
CHN,2001,3215.673982
CHN,2002,3540.245226
CHN,2003,3949.412082
CHN,2004,4442.162984
CHN,2005,5077.604522
CHN,2006,5868.23174
CHN,2007,6846.292802
CHN,2008,7615.72822
CHN,2009,8354.100051
CHN,2010,9310.817374
CHN,2011,10359.54933
CHN,2012,11323.02198
CHN,2013,12337.60788
CHN,2014,13405.02714
CHN,2015,14338.35412
COL,2000,6603.048676
COL,2001,6779.693554
COL,2002,6968.16344
COL,2003,7293.794062
COL,2004,7797.230571
COL,2005,8324.714657
COL,2006,9046.028501
COL,2007,9809.877945
COL,2008,10234.92987
COL,2009,10359.99139
COL,2010,10775.87116
COL,2011,11586.87358
COL,2012,12135.91279
COL,2013,12784.96564
COL,2014,13431.51762
