Country,From,To,Participants,Sports,Gold,Silver,Bronze
Albania,2006,2014,2,1,,,
Algeria,1992,2010,7,2,,,
American Samoa,1994,1994,2,1,,,
Andorra,1976,2014,28,4,,,
Argentina,1928,2014,136,8,,,
Armenia,1994,2014,28,5,,,
Australia,1924,2014,240,14,5,3,4
Austria,1924,2014,859,14,59,78,81
Azerbaijan,1998,2014,13,2,,,
Belarus,1994,2014,160,10,6,4,5
Belgium,1924,2014,124,8,1,1,3
Bermuda,1992,2014,3,3,,,
Bolivia,1956,1992,13,1,,,
Bosnia and Herzegovina,1994,2014,28,5,,,
Brazil,1992,2014,32,8,,,
British Virgin Islands,1984,2014,2,2,,,
Bulgaria,1936,2014,180,11,1,2,3
Cameroon,2002,2002,1,1,,,
Canada,1924,2014,1279,15,62,56,52
Cayman Islands,2010,2014,1,1,,,
Chile,1948,2014,50,4,,,
China,1980,2014,311,11,12,22,19
Chinese Taipei,1972,2014,44,8,,,
Colombia,2010,2010,1,1,,,
Costa Rica,1980,2006,7,3,,,
Croatia,1992,2014,51,7,4,6,1
Cyprus,1980,2014,14,1,,,
Czech Republic,1924,2014,747,25,9,17,23
Denmark,1948,2014,58,8,,1,
Dominica,2014,2014,1,1,,,
Egypt,1984,1984,1,1,,,
Estonia,1928,2014,94,8,4,2,1
Ethiopia,2006,2010,1,1,,,
Fiji,1988,2002,2,2,,,
Finland,1924,2014,723,12,42,62,57
France,1924,2014,823,16,31,31,47
Georgia,1994,2014,15,4,,,
Germany,1928,2014,1459,35,136,135,106
Ghana,2010,2010,1,1,,,
Greece,1936,2014,66,8,,,
Guam,1988,1988,1,1,,,
Guatemala,1988,1988,6,2,,,
Honduras,1992,1992,1,1,,,
Hong Kong,2002,2014,4,1,,,
Hungary,1924,2014,206,10,,2,4
Iceland,1948,2014,75,3,,,
India,1924,2014,21,4,,,
Iran,1956,2014,24,2,,,
Ireland,1992,2014,27,5,,,
Israel,1994,2014,13,3,,,
Italy,1924,2014,938,16,37,34,43
Jamaica,1988,2014,11,2,,,
Japan,1928,2014,798,15,10,17,18
Kazakhstan,1994,2014,192,11,1,3,3
Kenya,1998,2006,1,1,,,
Kyrgyzstan,1994,2014,7,4,,,
Latvia,1924,2014,194,12,,4,3
Lebanon,1948,2014,31,3,,,
Liechtenstein,1936,2014,80,4,2,2,5
Lithuania,1928,2014,26,6,,,
Luxembourg,1928,2014,12,4,,2,
Macedonia,1998,2014,10,2,,,
Madagascar,2006,2006,1,1,,,
Malta,2014,2014,1,1,,,
Mexico,1928,2014,32,5,,,
Moldova,1994,2014,15,4,,,
Monaco,1984,2014,16,2,,,
Mongolia,1964,2014,39,4,,,
Morocco,1968,2014,24,2,,,
Nepal,1924,2014,3,2,,,
Netherlands,1928,2014,214,8,37,38,35
Netherlands Antilles,1988,1992,3,2,,,
New Zealand,1952,2014,90,11,,1,
North Korea,1964,2010,62,5,,1,1
Norway,1924,2014,820,15,118,111,100
Pakistan,2010,2014,2,1,,,
Paraguay,2014,2014,1,1,,,
Peru,2010,2014,3,2,,,
Philippines,1972,2014,5,3,,,
Poland,1924,2014,511,15,6,7,7
Portugal,1952,2014,12,5,,,
Puerto Rico,1984,1998,17,5,,,
Romania,1928,2014,281,13,,,1
Russia,1956,2014,1089,25,127,97,94
San Marino,1976,2014,15,3,,,
Senegal,1984,2010,3,1,,,
Serbia,2010,2014,15,5,,,
Slovakia,1994,2014,201,12,2,2,1
Slovenia,1992,2014,158,11,2,4,9
South Africa,1960,2010,11,5,,,
South Korea,1948,2014,255,13,26,17,10
Spain,1936,2014,132,10,1,,1
Swaziland,1992,1992,1,1,,,
Sweden,1924,2014,902,14,50,40,54
Switzerland,1924,2014,1007,15,50,40,48
Tajikistan,2002,2014,2,1,,,
Thailand,2002,2014,3,2,,,
Togo,2014,2014,2,2,,,
Tonga,2014,2014,1,1,,,
Trinidad and Tobago,1994,2002,4,1,,,
Turkey,1936,2014,61,3,,,
Ukraine,1994,2014,198,13,2,1,4
United Kingdom,1924,2014,642,16,10,4,12
United States,1924,2014,1696,16,96,102,84
Uruguay,1998,1998,1,1,,,
Uzbekistan,1994,2014,21,3,1,,
Venezuela,1998,2014,5,2,,,
Virgin Islands,1988,2014,26,3,,,
Zimbabwe,2014,2014,1,1,,,
